,,,,,,,,,,,,,,COORDINACION GENERAL DE PUERTOS Y MARINA MERCANTE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,DIRECCION GENERAL DE PUERTOS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,MOVIMIENTO PORTUARIO DE EMBARCACIONES NACIONALES Y EXTRANJERAS,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,MES:,ENERO,,,,,,,,,,,,,,,,,,,,MES:,ENERO,,,,,
PUERTO : ,"GUAYMAS, SONORA",,,,,,,,,AÑO:,2014,,,,,,,,,,,,,,,,,,,,AÑO:,2014,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,
NUMERO DE REFERENCIA,NOMBRE DEL BUQUE,CAUSA DEL ARRIBO,BANDERA,T.B.R.,ESLORA,MANGA,TIPO DE EMBARCACION,CALADO MAXIMO,LINEA NAVIERA,PUERTO ANTERIOR,SIGUIENTE PUERTO,,,PRODUCTO,TONELADAS,TIPOS DE CARGA QUE TRANSPORTA,,,,,,,TRAFICO,,,,,,MUELLE,TERMINAL,MANIOBRISTA,HORAS BUQUE,,,,,
,,,,,,,,,,,,,,,,GS,PER,GC,GA,GM,PTR.,O FLU.,IM ,EX,CEN,CSA,IE,IS,,,,PUERTO,MUELLE,OPERACION,,,
1,PARADISE BAY,EMBARQUE,REINO UNIDO,"25,557", 183.00 , 30.95 ,GRANELERO,16.40,PIONEER MARINE ADVISER PTE LTD,,,,,CONCENTRADO DE COBRE," 27,503.490 ",,,,,X,,,,,,,,X,T-4,RECINTO FISCAL,CROM,79.683,78.083,59.917,,,
2,WESTERN TOKYO,EMBARQUE,PANAMA,"31,538", 190.00 , 32.26 ,GRANELERO,18.10,SOJITZ MARINE & ENGINEERING CORP,,,,,CONCENTRADO DE COBRE," 11,002.860 ",,,,,X,,,,,,,,X,T-4,RECINTO FISCAL,CROM,191.316,145.000,107.583,,,
,WESTERN TOKYO,EMBARQUE,PANAMA,"31,538", 190.00 , 32.26 ,GRANELERO,18.10,SOJITZ MARINE & ENGINEERING CORP,,,,,CONCENTRADO DE COBRE," 32,101.400 ",,,,,X,,,,X,,,,,T-4,RECINTO FISCAL,CROM,191.316,145.000,107.583,,,
3,MOUNT ADAMELO,DESEMBARQUE,CHIPRE,"22,521", 181.78 , 27.42 ,TANQUE,16.90,DONNELLY TANKER MANAGEMENET LTD.,,,,,FERTILIZANTE LIQUIDO," 32,972.665 ",,,,,,,X,X,,,,,,T-6,RECINTO FISCAL,CROM,57.516,55.850,49.600,,,
4,ACAPULCO,EMBARQUE,SINGAPUR,"10,730", 162.80 , 22.30 ,PORTACONTENEDORES,11.10,BERNHARD SCHULTE SHIPMANAGEMENT,,,,,CONTENEDORES," 3,436.890 ",,,X,,,,,,X,,,,,T-2,RECINTO FISCAL,CROM,40.933,26.850,22.833,,,
,ACAPULCO,DESEMBARQUE,SINGAPUR,"10,730", 162.80 , 22.30 ,PORTACONTENEDORES,11.10,BERNHARD SCHULTE SHIPMANAGEMENT,,,,,CONTENEDORES, 850.003 ,,,X,,,,,X,,,,,,T-2,RECINTO FISCAL,CROM,40.933,26.850,22.833,,,
5,RIO BALSAS,EMBARQUE,MEXICANA,"54,268", 246.80 , 42.00 ,GRANELERO,19.50,CYPRUS SEA LINE CO. LTD.,,,,,MINERAL DE HIERRO," 91,110.680 ",,,,,X,,,,,,X,,,T-5,RECINTO FISCAL,CROM,143.849,117.583,92.784,,,
6,KANG YAO,EMBARQUE,HONG KONG/CHINA,"29,342", 188.50 , 32.26 ,CARGA GENERAL,17.15,FAIRWEATHER STEAMSHIP CO; LTD,,,,,MINERAL DE HIERRO," 51,582.358 ",,,,,X,,,,,,X,,,T-5,RECINTO FISCAL,CROM,93.030,91.583,57.750,,,
7,ACAPULCO,EMBARQUE,SINGAPUR,"10,730", 162.80 , 22.30 ,PORTACONTENEDORES,11.10,BERNHARD SCHULTE SHIPMANAGEMENT,,,,,CONTENEDORES," 4,325.874 ",,,X,,,,,,X,,,,,T-4,RECINTO FISCAL,CROM,28.600,27.516,22.170,,,
,ACAPULCO,DESEMBARQUE,SINGAPUR,"10,730", 162.80 , 22.30 ,PORTACONTENEDORES,11.10,BERNHARD SCHULTE SHIPMANAGEMENT,,,,,CONTENEDORES, 956.600 ,,,X,,,,,X,,,,,,T-4,RECINTO FISCAL,CROM,28.600,27.516,22.170,,,
8,ATLANTIC MEXICO,EMBARQUE,SINGAPUR,"33,010", 189.99 , 32.26 ,CARGA GENERAL,18.00,PACC SHIP MANAGERS PTE LTD,,,,,CONCENTRADO DE COBRE," 11,000.980 ",,,,,X,,,,,,,,X,T-3,RECINTO FISCAL,CROM,103.183,101.583,60.515,,,
,ATLANTIC MEXICO,EMBARQUE,SINGAPUR,"33,010", 189.99 , 32.26 ,CARGA GENERAL,18.00,PACC SHIP MANAGERS PTE LTD,,,,,CONCENTRADO DE COBRE," 22,320.230 ",,,,,X,,,,X,,,,,T-3,RECINTO FISCAL,CROM,103.183,101.583,60.515,,,
9,RIO BALSAS,EMBARQUE,MEXICANA,"54,268", 246.80 , 42.00 ,GRANELERO,19.50,CYPRUS SEA LINE CO. LTD.,,,,,MINERAL DE HIERRO," 91,401.680 ",,,,,X,,,,,,X,,,T-5,RECINTO FISCAL,CROM,120.266,118.533,115.500,,,
10,ONEGO ARKHANGELSK,DESEMBARQUE,HOLANDA,"5,425", 118.14 , 15.90 ,CARGA GENERAL,8.80,FORESTWAVE NAVIGATION BV,,,,,NITRATO DE AMONIO," 3,505.600 ",X,,,,,,,X,,,,,,T-3,RECINTO FISCAL,CROM,29.460,28.433,15.249,,,
11,ACAPULCO,EMBARQUE,SINGAPUR,"10,730", 162.80 , 22.30 ,PORTACONTENEDORES,11.10,BERNHARD SCHULTE SHIPMANAGEMENT,,,,,CONTENEDORES," 3,205.856 ",,,X,,,,,,X,,,,,T-4,RECINTO FISCAL,CROM,22.450,21.150,17.000,,,
,ACAPULCO,DESEMBARQUE,SINGAPUR,"10,730", 162.80 , 22.30 ,PORTACONTENEDORES,11.10,BERNHARD SCHULTE SHIPMANAGEMENT,,,,,CONTENEDORES, 553.332 ,,,X,,,,,X,,,,,,T-4,RECINTO FISCAL,CROM,22.450,21.150,17.000,,,
12,DOGAN,EMBARQUE,MALTESA,"23,638", 180.00 , 30.00 ,CARGA GENERAL,14.70,CINER SHIP MANAGEMENT,,,,,CONCENTRADO DE COBRE," 27,502.450 ",,,,,X,,,,,,,,X,T-3,RECINTO FISCAL,CROM,275.933,84.766,55.582,,,
13,UNION BIENVENIDO,EMBARQUE,ISLAS MARSHALL,"17,019", 169.37 , 27.20 ,CARGA GENERAL,13.60,UNION COMMERCIAL INCORPORATED,,,,,TRIGO," 27,280.000 ",,,,X,,,,,X,,,,,T-6,RECINTO FISCAL,CROM,108.133,55.733,30.081,,,
14,ATLANTIC YUCATAN,EMBARQUE,SINGAPUR,"30,822", 189.90 , 32.26 ,CARGA GENERAL,17.80,PACC SHIP MANAGERS PTE LTD,,,,,CONCENTRADO DE COBRE," 10,876.300 ",,,,,X,,,,X,,,,,T-4,RECINTO FISCAL,CROM,80.250,40.350,27.166,,,
15-26,SANTA ROSALIA,DESEMBARQUE Y EMBARQUE,MEXICANA,355, 37.15 , 9.40 ,PASAJEROS,4.20,OPERADORA PORTUARIA DEL NOROESTE,SANTA ROSALIA,SANTA ROSALIA,,,CARGA GENERAL, 159.000 ,,,,,,,,,,X,X,,,TURISTICO,SEMATUR,,,,,,,
27,JOSE MARIA MORELOS II,DESEMBARQUE,MEXICANA,"29,304", 183.21 , 32.20 ,TANQUE,18.80,PEMEX,,"SALINA CRUZ, OAXACA",,,DIESEL Y MAGNA," 11,355.000 ",,,,,,X,,,,X,,,,LPG,PEMEX,PEMEX,16.150,13.550,9.300,,,
28,CHICONTEPEC,DESEMBARQUE,MEXICANA,"29,242", 183.20 , 32.20 ,TANQUE,18.80,PEMEX,,"SALINA CRUZ, OAXACA",,,"DIESEL, MAGNA Y PREMIUM"," 15,605.000 ",,,,,,X,,,,X,,,,LPG,PEMEX,PEMEX,33.120,30.540,11.180,,,
29,HIGH ENTERPRISE,DESEMBARQUE,PANAMA,"28,054", 179.88 , 32.20 ,TANQUE,18.70,"DAMICO TANKERS, U.K. LTD",,EXTRANJERO,,,MAGNA," 9,186.000 ",,,,,,X,,,X,,,,,LPG,PEMEX,PEMEX,27.480,21.220,11.360,,,
30,OVERSEAS ANTIGMAR,DESEMBARQUE,ISLAS MARSHALL,"30,018", 183.00 , 32.20 ,TANQUE,19.10,OSG SHIP MANAGEMENT (GR) LTD,,EXTRANJERO,,,DIESEL," 14,985.000 ",,,,,,X,,,X,,,,,LPG,PEMEX,PEMEX,31.000,27.240,22.420,,,
31,CENTLA,DESEMBARQUE,MEXICANA,"30,159", 186.00 , 32.20 ,TANQUE,19.10,PEMEX,,"SALINA CRUZ, OAXACA",,,"DIESEL, PREMIUM Y TURBO"," 15,049.000 ",,,,,,X,,,,X,,,,LPG,PEMEX,PEMEX,35.180,29.000,12.120,,,
32,MIGUEL HIDALGO II,DESEMBARQUE,MEXICANA,"29,304", 183.21 , 32.20 ,TANQUE,18.80,PEMEX,,"LA PAZ, B.C",,,DIESEL Y MAGNA," 8,937.000 ",,,,,,X,,,,X,,,,LPG,PEMEX,PEMEX,16.480,14.150,9.120,,,
33,RARAMURI,DESEMBARQUE,MEXICANA,"30,088", 183.00 , 32.20 ,TANQUE,19.10,PEMEX,,"MANZANILLO, COLIMA",,,"DIESEL, MAGNA Y PREMIUM"," 18,658.000 ",,,,,,X,,,,X,,,,LPG,PEMEX,PEMEX,22.540,20.040,13.000,,,
34,MERSINI,DESEMBARQUE,PANAMA,"29,433", 183.31 , 32.24 ,TANQUE,13.32,WORLD TANKERS MANAGEMENT PTE. LTD,,EXTRANJERO,,,DIESEL Y MAGNA," 10,507.000 ",,,,,,X,,,X,,,,,LPG,PEMEX,PEMEX,26.00,22.18,11.24,,,
35,PUMA,DESEMBARQUE,PANAMA,"30,109", 183.00 , 32.20 ,TANQUE,19.10,MORANDE SHIPPING INC.,,EXTRANJERO,,,MAGNA," 12,797.000 ",,,,,,X,,,X,,,,,LPG,PEMEX,PEMEX,25.00,21.24,16.42,,,
36,TEXISTEPEC ,DESEMBARQUE,MEXICANA,"30,159", 183.00 , 32.20 ,TANQUE,19.10,PEMEX REFINACION,,"ROSARITO, BC",,,MAGNA Y PREMIUM," 8,162.000 ",,,,,,X,,,,X,,,,LPG,PEMEX,PEMEX,15.36,12.50,7.09,,,
37,CENTLA,DESEMBARQUE,MEXICANA,"30,159", 186.00 , 32.20 ,TANQUE,19.10,PEMEX,,"LA PAZ, B.C",,,"DIESEL, MAGNA, PREMIUM Y TURBO"," 20,372.000 ",,,,,,X,,,,X,,,,LPG,PEMEX,PEMEX,31.000,28.250,14.380,,,
38,SAKIS P,EMBARQUE,PANAMA,"1,550", 81.45 , 12.50 ,CARGA GENERAL,5.90,"GREMEX SHIPPING, N.V.",,"LA PAZ, B.C.S.",,,CEMENTO," 2,238.870 ",,,,,X,,,,,,X,,,CEMEX,CEMEX,CEMEX,16.00,16.00,16.00,,,
39,CAMPANA I,EMBARQUE,MEXICO,"1,402", 58.00 , 14.00 ,CHALAN,4.00,,,"LA PAZ, B.C.S.",,,CEMENTO," 2,140.210 ",,,,,X,,,,,,X,,,CEMEX,CEMEX,CEMEX,14.00,14.00,14.00,,,
