Índices de los Expedientes considerados como Reservados ,,,,,,,,,,,,,,,,,,,,,,..
,,,,,,,,,,,,,,,,,,,,,,
Clave de Sujeto obligado:,,,,,,,,,,,,,,,,,,,,,,
Sujeto obligado:,,Archivo General de la Nación ,,,,,,,,,,,,,,,,,,,,
Periodo del Índice:,,Segundo Semestre 2017,,,,,,,,,,,,,,,,,,,,
Fecha de actualización (dd/mm/aaaa):,,31/12/17 00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Área,Nombre del expediente o documento,Tema,Momento de la clasificación de la información como reservada,Plazo de reserva,Fecha de inicio de la clasificación  (dd/mm/aaaa),Fecha de término de la clasificación  (dd/mm/aaaa),Fundamento legal de la clasificación,Justificación,Razones y motivos de la clasificación,Clasificación completa o parcial,Partes o secciones que se clasifican,Fecha del acta en donde el Comité de Transparencia confirmó la clasificación  (dd/mm/aaaa),Estatus del expediente,Expediente en ampliación de plazo de reserva,Plazo de ampliación de reserva  (años),Fecha de inicio del plazo de ampliación de reserva  (dd/mm/aaaa),Fecha de término del plazo de ampliación de reserva  (dd/mm/aaaa),Fundamento legal del plazo de ampliación de reserva,Justificación del plazo de ampliación de reserva,Razones y motivos del plazo de ampliación de reserva,Clasificación completa o parcial de la ampliación de reserva,Partes o secciones que se clasifican en el plazo de ampliación de reserva
Dirección de Administración,"Contrato celebrado entre el Archivo General de la Nación y el Cuerpo de Guardias de Seguridad Industrial, Bancaria y Comercial del Valle de Cuautitlán, Texcoco 2016",contrataciones ,Solicitud de acceso,5 años ,30/08/2016,30/08/2021,"Artículos 13, fracciones I y IV, 15, 29, fracción III, 43 y 45 de la Ley Federal de Transparencia y Acceso a la Información Pública Gubernamental; 27, 70, fracción IV y 72 de su Reglamento y Quinto y Octavo de los Lineamientos generales para la clasificación y desclasificación de la información de las Dependencias y Entidades de la Administración Pública Federal","Al dar a conocer la información se podrían generar elementos que podrían provocar un daño presente, probable y específico para la seguridad que rige en el Archivo General de la Nación","El dar a conocer la información puede generar un daño ya que ahí se contiene información acerca de cómo se deben custodiar las instalaciones del Archivo General de la Nación, así como cuál debe ser el actuar de los elementos encargados de la seguridad dentro de las instalaciones; dependiendo el área en la que se encuentren y esto pudiera generar un perjuicio presente relacionado con la seguridad institucional del inmueble, tomando en consideración que el asunto hace referencia a la forma en que se realiza la custodia en el Archivo General de la Nación, por lo que se revelarían datos que podrían poner en riesgo la seguridad de las instalaciones que forman parte del patrimonio federal y con ello de los documentos que se reguardan en este Archivo General de la Nación y que constituyen patrimonio documental de la Nación. ",parcial ,"Anexo uno ""pliego de consignas""",30/08/2016,Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/14. Taller La gestión documental en procesos de digitalización,Capacitación Archivistica ,Solicitud de acceso,2 años ,06/09/2016,06/09/2018,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller  ""La gestión documental en procesos de digitalización""  ",04/10/2016,Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/26. Curso - Taller Procesos Técnicos de la Unidad de Correspondencia y Archivo de Trámite,Capacitación Archivistica ,Solicitud de acceso,2 años ,06/09/2016,06/09/2018,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el curso - taller ""Procesos Técnicos de la Unidad de Correspondencia y Archivo de Trámite""  ",04/10/2016,Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/27. Curso - Taller para la elaboración del trámite de baja documental,Capacitación Archivistica ,Solicitud de acceso,2 años ,06/09/2016,06/09/2018,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el curso - taller ""Elaboración del trámite de baja documental""  ",04/10/2016,Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/28. Curso - Taller para la elaboración del Plan Anual de Desarrollo Archivístico (PADA),Capacitación Archivistica ,Solicitud de acceso,2 años ,06/09/2016,06/09/2018,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el curso - taller ""Elaboración del Plan Anual de Desarrollo Archivístico (PADA)""  ",04/10/2016,Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/29. Curso - Taller de Procesos técnicos del archivo de concentración,Capacitación Archivistica ,Solicitud de acceso,2 años ,06/09/2016,06/09/2018,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el curso - taller ""Procesos técnicos del archivo de concentración""  ",04/10/2016,Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/30. Taller de inducción a la identificación de procesos,Capacitación Archivistica ,Solicitud de acceso,2 años ,06/09/2016,06/09/2018,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller ""Inducción a la identificación de procesos""  ",04/10/2016,Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Taller de Elaboración del Plan Anual de Desarrollo Archivístico ,Capacitación Archivistica ,Solicitud de acceso,3 años,07/06/2017,06/06/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","La información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Ce considera que los exámenes y los reactivos que contienen, son empleados dentro de procesos deliberativos desarrollados por servidores públicos encargados de evaluar el desempeño de los participantes; por tanto, se concluye que dicha información continuará implementándose","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",Parcial ,"
Evaluación inicial y evaluación final","04/10/2016
",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,16S.14/ Curso de archivística impartido los días 4 y 6 de septiembre de 2013 Secretaría de Gobernación Recursos Humanos,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","La información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Ce considera que los exámenes y los reactivos que contienen, son empleados dentro de procesos deliberativos desarrollados por servidores públicos encargados de evaluar el desempeño de los participantes; por tanto, se concluye que dicha información continuará implementándose","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",Parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
,"16S.14/ Curso de archivística impartido los días 16,17 y 18 de octubre de 2013 Secretaría de Gobernación ",Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","La información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Ce considera que los exámenes y los reactivos que contienen, son empleados dentro de procesos deliberativos desarrollados por servidores públicos encargados de evaluar el desempeño de los participantes; por tanto, se concluye que dicha información continuará implementándose","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",Parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
